Year_Month,Date,Close,Log_Return,Company
2013-04,2013-04-01,367.5660705566406,0.11797628720277792,シーラホールディングス
2013-05,2013-05-01,430.6261901855469,0.15833731929892628,シーラホールディングス
2013-06,2013-06-01,354.9792785644531,-0.1931809880894058,シーラホールディングス
2013-07,2013-07-01,352.0743713378906,-0.008216982039758909,シーラホールディングス
2013-08,2013-08-01,344.52166748046875,-0.021685451571161966,シーラホールディングス
2013-09,2013-09-01,346.26458740234375,0.005046202376068492,シーラホールディングス
2013-10,2013-10-01,382.2854309082031,0.09896434462503725,シーラホールディングス
2013-11,2013-11-01,384.02838134765625,0.004548928695042189,シーラホールディングス
2013-12,2013-12-01,380.54254150390625,-0.009118484348682012,シーラホールディングス
2014-01,2014-01-01,396.0020446777344,0.03982139930138817,シーラホールディングス
2014-02,2014-02-01,372.2181396484375,-0.06193929525469543,シーラホールディングス
2014-03,2014-03-01,379.353271484375,0.018987806353682354,シーラホールディングス
2014-04,2014-04-01,393.0290222167969,0.035415571354781586,シーラホールディングス
2014-05,2014-05-01,396.0020446777344,0.007535917546231519,シーラホールディングス
2014-06,2014-06-01,384.6485290527344,-0.029089368789850856,シーラホールディングス
2014-07,2014-07-01,385.8658142089844,0.003159671665111181,シーラホールディングス
2014-08,2014-08-01,393.77789306640625,0.02029734972054865,シーラホールディングス
2014-09,2014-09-01,394.3865051269531,0.0015443787689698736,シーラホールディングス
2014-10,2014-10-01,408.38482666015625,0.03487852653297455,シーラホールディングス
2014-11,2014-11-01,412.6451721191406,0.01037814380457274,シーラホールディングス
2014-12,2014-12-01,408.1541748046875,-0.010943093822121669,シーラホールディングス
2015-01,2015-01-01,423.70880126953125,0.0374014473764205,シーラホールディングス
2015-02,2015-02-01,433.04168701171875,0.02178756839682985,シーラホールディングス
2015-03,2015-03-01,465.3954162597656,0.07205340356387847,シーラホールディングス
